k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,3,2,51.27378,-1.37535,1079,0,394.50999272585045,1196.2159687374658,67.04330997161014,244.01270925617885,54.04066819162226,160.16079087515138,68.16700708016423,2971.2990757813313,1,0,0,0,1,0,1,1,1,1,1,0,1,1
t,3,3,51.26233,-1.35755,909,0,860.6106361511943,860.6106361511943,614.0352447156572,806.4860385116784,175.43782059707618,867.2845493194608,175.43782059707618,3035.5161243681646,1,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,3,51.27042,-1.37223,1024,0,37.988270911097345,776.8755942086999,24.91873565491001,24.91873565491001,18.954434005945988,32.18343030063253,29.387581557989833,2785.2755852794003,1,0,1,1,1,0,1,1,1,1,1,0,1,1
c,3,3,51.28123,-1.3757,1010,0,1178.0308738726887,1183.2814111065811,108.42064540380306,108.42064540380306,17.214147454519452,566.2220917425506,17.214147454519452,3699.422426494304,0,0,0,0,0,0,1,1,1,1,0,0,1,1
c,3,3,51.28285,-1.37758,1016,0,984.6215044021205,997.7446265754174,163.19082792405655,163.19082792405655,60.967997686939455,719.5828242607629,60.96799768693947,3734.423234829874,0,0,1,0,0,0,1,0,1,1,0,0,0,1
t,3,4,51.23328,-1.278,1176,0,762.7979608104943,711.1940437545351,112.30334476112634,646.0710741747421,53.231822492645684,123.19235532328914,53.231822492645684,1556.737227890241,1,0,1,0,0,0,0,1,1,1,1,1,1,1
c,3,4,51.18675,-1.1861,1191,0,1482.605615009879,1412.5240069279826,947.9911363808341,1390.4086533484813,110.54450119904239,923.7165310322318,126.6519482702543,2941.3437202130526,1,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,4,51.18378,-1.18377,1138,0,1485.1686447617976,1780.0615217348318,803.9555733105791,1745.5045618757267,5.942463716799428,814.9718232845531,148.7650882052266,3302.0398835853057,0,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,4,51.16718,-1.15633,1165,0,1171.5952709902824,1034.516583917552,845.3628688615762,1009.9389328434971,26.514987065703014,735.240395096224,230.13688775991884,1677.095498411766,1,0,1,0,0,0,0,0,1,1,0,1,0,1
t,3,5,51.21082,-1.22152,1091,0,1061.3756140392982,1076.4377727716915,573.2396194714147,573.2396194714147,100.02450042676739,624.1294215288576,215.64645929102605,1776.6031301609257,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,5,51.1589,-1.14595,1101,0,682.0530792585955,407.01986690742547,149.04678822495018,149.04678822495018,2.0154486830694056,215.48478389674997,132.0595184476899,1609.0455625697218,1,0,1,0,0,1,1,1,1,1,1,1,1,1
c,3,5,51.15677,-1.14098,1076,0,829.9241454714389,560.9318269296298,198.7389746238486,198.7389746238486,79.60742066959,628.8032463839885,191.0008632850364,1665.104710782536,1,0,1,0,0,0,1,0,1,1,0,1,0,1
c,3,5,51.16128,-1.14915,1118,0,657.045620949558,372.05949314167276,188.07804534046736,188.07804534046736,34.24046396249597,180.37129801538381,63.35770535393668,1550.986445180446,1,0,1,0,0,1,1,0,1,1,1,1,0,1
t,3,6,51.17498,-1.16373,866,0,1449.5444735599997,1769.5679001921228,1398.5463254611852,1754.2537784268366,46.013168264871986,1309.047208911289,60.96386556898661,2190.2844734687014,0,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,6,51.149,-1.12178,858,0,1015.5557446483199,409.59008464175474,400.7402760994297,400.7402760994297,99.73784673476547,556.8009109514644,210.37090823112587,1429.191754099888,1,0,1,0,0,1,0,0,1,1,0,1,0,1
c,3,6,51.1509,-1.12678,914,0,1008.1951711100451,665.7846134899858,660.3042566514339,660.3042566514339,73.73038283114846,875.7815630151892,111.87673936791636,1828.6454445768459,1,0,1,0,0,0,0,0,1,1,0,1,0,1
